Date,Cured,Deaths,Confirmed
2020-01-30,0,0,1
2020-01-31,0,0,1
2020-02-01,0,0,2
2020-02-02,0,0,3
2020-02-03,0,0,3
2020-02-04,0,0,3
2020-02-05,0,0,3
2020-02-06,0,0,3
2020-02-07,0,0,3
2020-02-08,0,0,3
2020-02-09,0,0,3
2020-02-10,0,0,3
2020-02-11,0,0,3
2020-02-12,0,0,3
2020-02-13,0,0,3
2020-02-14,0,0,3
2020-02-15,0,0,3
2020-02-16,0,0,3
2020-02-17,0,0,3
2020-02-18,0,0,3
2020-02-19,0,0,3
2020-02-20,0,0,3
2020-02-21,0,0,3
2020-02-22,0,0,3
2020-02-23,0,0,3
2020-02-24,0,0,3
2020-02-25,0,0,3
2020-02-26,0,0,3
2020-02-27,0,0,3
2020-02-28,0,0,3
2020-02-29,0,0,3
2020-03-01,0,0,3
2020-03-02,0,0,5
2020-03-03,3,0,6
2020-03-04,3,0,28
2020-03-05,3,0,30
2020-03-06,3,0,31
2020-03-07,3,0,34
2020-03-08,3,0,39
2020-03-09,3,0,46
2020-03-10,3,0,58
2020-03-11,3,0,60
2020-03-12,3,0,74
2020-03-13,3,1,81
2020-03-14,10,2,84
2020-03-15,13,2,110
2020-03-16,13,2,114
2020-03-17,14,3,137
2020-03-18,14,3,151
2020-03-19,20,4,173
2020-03-20,23,4,223
2020-03-21,23,4,283
2020-03-22,24,7,360
2020-03-23,24,7,433
2020-03-24,40,9,519
2020-03-25,43,10,606
2020-03-26,45,15,694
2020-03-27,67,17,724
2020-03-28,80,19,909
2020-03-29,96,27,1024
2020-03-30,102,31,1251
2020-03-31,124,35,1397
2020-04-01,144,41,1834
2020-04-02,156,53,2069
2020-04-03,163,62,2547
2020-04-04,213,75,3072
2020-04-05,275,83,3577
2020-04-06,319,111,4281
2020-04-07,353,124,4789
2020-04-08,411,149,5274
2020-04-09,478,169,5865
2020-04-10,516,206,6761
2020-04-11,653,242,7529
2020-04-12,765,273,8447
2020-04-13,980,324,9352
2020-04-14,1190,353,10815
2020-04-15,1344,392,11933
2020-04-16,1515,420,12759
2020-04-17,1767,452,13835
2020-04-18,2015,488,14792
2020-04-19,2302,519,16116
2020-04-20,2842,559,17656
2020-04-21,3260,603,18985
2020-04-22,3960,652,20471
2020-04-23,4325,686,21700
2020-04-24,4814,723,23452
2020-04-25,5210,779,24893
